"cate_rmse","cate_coverage","cate_interval_length","ate_rmse","ate_coverage","ate_interval_length","gamma1_sig","gamma2_sig","gamma3_sig","gamma4_sig","gamma5_sig"
2.33823207965747,0.524,2.85997462069116,1.63056280443646,0,1.57451522611541,0,0,0,1,1
2.64674470538641,0.268,2.66342094360882,2.10630946774722,0,1.34859674417903,0,1,0,0,1
3.50229801054117,0.168,2.79341278943587,2.98836679648379,0,1.424514760704,0,1,0,0,1
3.6232772057885,0.164,2.61727698163992,3.01973427471345,0,1.3339789612525,0,1,0,0,1
2.64564780425256,0.212,2.22446057824445,2.19967168116308,0,1.18969835974231,0,0,0,1,1
3.01071917719246,0.2,2.54814626490331,2.50135097627271,0,1.2967959965428,0,0,0,1,1
3.29353895570121,0.172,2.48302831706409,2.77187742007072,0,1.22081851845101,0,1,0,0,1
3.43545672370489,0.192,2.54998751005459,2.85088758928471,0,1.33129927888519,0,1,0,0,1
3.05972682298731,0.18,2.5361387511044,2.56426070963671,0,1.3547533818098,0,1,0,0,1
3.15105287824846,0.232,2.65726891430537,2.59908210362562,0,1.37226802956262,0,0,0,1,1
3.22355612987813,0.192,2.63123609954451,2.68428755253881,0,1.24759200504868,1,1,0,0,1
3.06423752031252,0.148,2.42395115625333,2.56876751102332,0,1.26362517122245,0,1,0,1,1
2.9512706970841,0.212,2.52677577333725,2.47456391719368,0,1.37116807502693,0,1,0,0,1
3.4812219917759,0.14,2.44073223597029,2.92034771635542,0,1.26651959595643,0,0,0,1,1
3.05083936243602,0.276,2.47697888168625,2.45728768602788,0,1.36847891858812,0,0,0,1,1
3.42908277238235,0.168,2.51157378123476,2.8363882237693,0,1.3708260345401,0,0,0,1,1
3.52760927268357,0.184,2.72548032854752,2.99859795320463,0,1.40315608823673,0,1,0,1,1
2.69638239190929,0.28,2.74410767286829,2.20793227575187,0,1.31738057164498,0,1,0,0,1
3.13749318552194,0.18,2.34579753344698,2.61251054645572,0,1.33658835276368,0,1,0,0,1
3.10945241587491,0.164,2.5160964308772,2.64027661649533,0,1.36788811525157,0,1,0,1,1
3.55944620489229,0.144,2.43418828982993,3.04885599562404,0,1.32363558399383,0,1,0,0,1
3.37647677644695,0.2,2.47253964897524,2.75510875658322,0,1.36301578602383,0,0,0,1,1
3.25308568456424,0.228,2.46172825581656,2.70735878380361,0,1.33922099538555,0,1,0,1,1
3.30194841698248,0.212,2.57326878296059,2.76332572051111,0,1.27203303165263,0,1,0,1,1
3.45571453564775,0.12,2.42385278415198,2.99847980062593,0,1.29577202203722,0,1,0,1,1
2.73701689178737,0.252,2.42147917265475,2.20839423400351,0,1.38620285099861,0,1,0,1,1
3.35086814518813,0.176,2.48992014209468,2.82241604037282,0,1.32138563476451,0,1,0,1,1
2.67778554969905,0.336,2.8945360566113,2.14782043955253,0,1.66660642345804,0,0,0,0,1
3.1963444991345,0.208,2.57118608956018,2.70054435544147,0,1.36477379839556,0,1,0,1,1
3.76785655697016,0.108,2.34142644884972,3.26288782434946,0,1.37994040627587,0,1,0,0,1
2.98021638205474,0.196,2.54330370339097,2.46889008745159,0,1.35014394925761,0,1,0,1,1
2.65923677506505,0.268,2.60492997897028,2.10859212621762,0,1.36642896384057,0,1,0,0,1
2.90990061401114,0.256,2.44372353437636,2.30750878521345,0,1.34431688687194,0,1,0,1,1
2.83401910493164,0.216,2.50405077885177,2.32352377677349,0,1.28523201928493,0,1,0,1,1
3.3049309926472,0.188,2.59187598204643,2.78176805810737,0,1.39228214749823,0,1,0,0,1
2.95956064786937,0.34,2.52691341890591,2.22821559372943,0,1.33818372913378,0,0,0,1,1
3.22650513397826,0.204,2.76754049096453,2.66975211123724,0,1.35474492008346,0,1,0,0,1
3.39625013004096,0.164,2.43939444209522,2.85706112174099,0,1.22980617942257,0,1,0,1,1
3.39430107487209,0.172,2.49957783229367,2.88687366046899,0,1.42331114002169,0,1,0,1,1
4.32051208506486,0.116,2.7480867458072,3.76885628167365,0,1.55609802828,0,0,0,0,1
3.53216790426695,0.148,2.55882572215758,3.03523339434111,0,1.38539126084625,0,1,0,0,1
3.34422065829851,0.172,2.44922948756979,2.75022815225451,0,1.36357539016139,0,0,0,0,1
2.90975527912895,0.164,2.49006377470465,2.45419201403571,0,1.2543915758804,0,1,0,0,1
3.54559400099638,0.148,2.66820102520777,3.04281010103094,0,1.48791438333014,0,1,0,0,1
2.25753983169432,0.416,2.76102918952385,1.62774162785794,0,1.4512435258122,0,1,0,1,1
3.18202186452799,0.164,2.33842701595398,2.70621248385415,0,1.25491957653158,0,1,0,1,1
2.95633575825857,0.164,2.3847720842359,2.53012342036859,0,1.28870776041351,0,1,0,0,1
2.95726541370669,0.216,2.50299918653143,2.4357522165409,0,1.31630144734651,0,0,0,0,1
2.70305099683687,0.288,2.61502336236548,2.1697234022044,0,1.47972857308404,0,1,0,1,1
3.91014660168804,0.18,2.76888955151251,3.31165591889477,0,1.43142882607462,0,1,0,1,1
