"sample_size","effect_type","mu_type","rmse_ate","cover_ate","len_ate","rmse_cate"
"250","homogeneous","nonlinear","0.236859136657851","1","0.885417396169451","0.397012426497943"
"250","homogeneous","nonlinear","0.206056900258707","1","0.786922859362146","0.355408365440069"
"250","homogeneous","nonlinear","0.225724248729933","1","0.825674782540013","0.261177068390965"
"250","homogeneous","nonlinear","0.204039166276158","1","0.798500995660506","0.418869555346101"
"250","homogeneous","nonlinear","0.212067678061335","1","0.820005887347881","0.35521973996376"
"250","homogeneous","nonlinear","0.316420172546544","1","0.85443189249067","0.352153422861364"
"250","homogeneous","nonlinear","0.263313503711937","1","0.892997503091436","0.378872622718293"
"250","homogeneous","nonlinear","0.20399205381073","1","0.786803623194921","0.351262445397506"
"250","homogeneous","nonlinear","0.231085743312283","1","0.786275647326787","0.392191431249458"
"250","homogeneous","nonlinear","0.219161358375079","1","0.83909076582638","0.349880943926605"
"250","homogeneous","nonlinear","0.262091148321295","1","0.850140702006622","0.314933311479003"
"250","homogeneous","nonlinear","0.26424705889316","1","0.862171402101341","0.371479997410238"
"250","homogeneous","nonlinear","0.22975345053332","1","0.785397482312058","0.359426517802201"
"250","homogeneous","nonlinear","0.236557835551421","1","0.853627020675383","0.365057490981497"
"250","homogeneous","nonlinear","0.220688395852293","1","0.773473471450774","0.347258972965849"
"250","homogeneous","nonlinear","0.24336433425907","1","0.830400100853966","0.330635169429315"
"250","homogeneous","nonlinear","0.223669006188585","1","0.814218842669806","0.334495110917156"
"250","homogeneous","nonlinear","0.226694277310374","1","0.836678978467402","0.286246147165885"
"250","homogeneous","nonlinear","0.240622507761254","1","0.792837037857112","0.359968471213627"
"250","homogeneous","nonlinear","0.245564674765291","1","0.865945535466645","0.273906585905445"
"250","homogeneous","linear","0.211244361856495","1","0.676140917002586","0.19512735125478"
"250","homogeneous","linear","0.214358753469588","1","0.675718312836567","0.222678273486822"
"250","homogeneous","linear","0.21278715022075","1","0.651595088319957","0.215777185391832"
"250","homogeneous","linear","0.207663155127788","1","0.656928938927989","0.211643082336874"
"250","homogeneous","linear","0.211895863335635","1","0.686765108859482","0.204438044037625"
"250","homogeneous","linear","0.230603982283819","1","0.67232003302625","0.211843777271652"
"250","homogeneous","linear","0.216529554410396","1","0.658915949748206","0.224654402075091"
"250","homogeneous","linear","0.203467147832031","1","0.679550377182486","0.18403439227275"
"250","homogeneous","linear","0.221448331558348","1","0.652221747415722","0.214491590506186"
"250","homogeneous","linear","0.214100301584753","1","0.680186416901103","0.205733397325016"
"250","homogeneous","linear","0.211683720949806","1","0.672751089076742","0.194397151465098"
"250","homogeneous","linear","0.208999659466509","1","0.682533211523521","0.201327808922504"
"250","homogeneous","linear","0.231204921628557","1","0.667938382404044","0.231398616789652"
"250","homogeneous","linear","0.219880892741651","1","0.690385415926027","0.211372104312154"
"250","homogeneous","linear","0.217528646775108","1","0.681483253992155","0.229427502738742"
"250","homogeneous","linear","0.211037920061908","1","0.67469717356724","0.204104486075791"
"250","homogeneous","linear","0.219798060126961","1","0.677918299236536","0.217865128986827"
"250","homogeneous","linear","0.227863640831604","1","0.690404915251989","0.21311339630889"
"250","homogeneous","linear","0.214789562286612","1","0.672730768693548","0.21609434898796"
"250","homogeneous","linear","0.212322785743406","1","0.66050919313395","0.208140702287647"
"250","heterogeneous","nonlinear","0.266329666472546","0.94","0.984617942053175","1.42075348163049"
"250","heterogeneous","nonlinear","0.279255224756564","0.932","1.01624105007367","1.37332999039793"
"250","heterogeneous","nonlinear","0.247741321748299","0.928","0.866509223663531","1.43223028590559"
"250","heterogeneous","nonlinear","0.272899118726785","0.932","0.998287962886642","1.4517964864743"
"250","heterogeneous","nonlinear","0.279817648697576","0.956","0.969855941839571","1.43365016042638"
"250","heterogeneous","nonlinear","0.35355048135596","0.936","1.03883032466532","1.36614281929516"
"250","heterogeneous","nonlinear","0.257211840121142","0.916","0.987359907529658","1.46264933154766"
"250","heterogeneous","nonlinear","0.359069607453328","0.94","1.17236500669427","1.40661935119766"
"250","heterogeneous","nonlinear","0.268210847660072","0.956","1.02319979307422","1.35581021523858"
"250","heterogeneous","nonlinear","0.291023085554779","0.952","1.05482369940432","1.43903468566582"
"250","heterogeneous","nonlinear","0.279093837728303","0.94","0.987349090991281","1.38057686786897"
"250","heterogeneous","nonlinear","0.296688540756641","0.936","1.08614166148959","1.42485356576293"
"250","heterogeneous","nonlinear","0.281509947157559","0.948","1.07171970047554","1.41076837300626"
"250","heterogeneous","nonlinear","0.335077349514833","0.936","0.929158838782935","1.37151671319673"
"250","heterogeneous","nonlinear","0.305362731654166","0.94","0.904120508904886","1.43462528082055"
"250","heterogeneous","nonlinear","0.282923628798306","0.94","1.01902459637672","1.4482750695658"
