"cate_rmse","cate_coverage","cate_interval_length","ate_rmse","ate_coverage","ate_interval_length","gamma1_sig","gamma2_sig","gamma3_sig","gamma4_sig","gamma5_sig"
3.51753385652317,0.124,2.54443329688901,2.97193173167258,0,1.3356109099502,0,1,0,1,1
3.14565680771065,0.214,2.28289013237177,2.59157227105299,0,1.22828243340741,0,0,0,1,1
3.53082127863355,0.164,2.72693169922646,2.93176501377461,0,1.39405461033068,0,1,0,1,1
2.87504973219285,0.36,2.76460504390738,2.11679110241399,0,1.36309333294632,0,0,1,1,1
3.03777272176538,0.228,2.29933148165579,2.43739553610815,0,1.17450504340343,0,1,0,0,1
3.51306840142633,0.194,2.75401856172984,2.90228236624061,0,1.34516548227011,0,1,0,0,1
3.54750085940803,0.206,2.68665117294029,3.00488346849474,0,1.28728459451052,0,1,0,0,1
2.71177334389944,0.25,2.60144477646485,2.05016102164562,0,1.31269430208719,0,1,1,1,1
2.56716034005059,0.304,2.35608277758786,1.18436303434683,0,1.16865373372109,0,1,1,0,1
3.38104275174518,0.252,2.53965375338642,2.4669315116248,0,1.28534419700942,0,1,1,1,1
2.85140135661317,0.336,2.57969837526735,1.68099576376852,0,1.2394025670281,0,1,1,1,1
3.26287173716435,0.256,2.64089248943233,2.59125309063903,0,1.31888774370106,1,0,0,1,1
3.35219988480436,0.168,2.61178020928725,2.84645518415443,0,1.37344204888485,0,1,0,0,1
3.7161250591949,0.218,2.68189153221883,2.74609697454444,0,1.39823613818201,0,1,1,1,1
2.88439130764985,0.268,2.61879529533343,2.21068280166921,0,1.27801409782436,0,1,1,1,1
3.06205863472144,0.28,2.42965981421603,1.92451160325683,0,1.15888891048158,0,1,1,1,1
3.8590392207233,0.142,2.37592214270732,3.3367450423445,0,1.23195104937879,0,1,0,1,1
3.24576023680451,0.212,2.65547841244772,2.6726789140659,0,1.27020247444553,0,0,0,1,1
2.91479970836989,0.314,2.6226647997175,2.06005303205217,0,1.32525844071016,0,1,1,1,1
2.7425364583136,0.288,2.81056643785324,2.16733220060512,0,1.37993499729046,0,1,0,0,1
2.82791391418958,0.282,2.34022628451852,2.17161500127977,0,1.1617492288367,0,1,0,1,1
3.69690852568832,0.212,2.47746169638605,2.63322516031356,0,1.22796698227204,0,1,1,0,1
2.84885453738661,0.318,2.53594384412115,1.55700885044073,0,1.27600920189669,0,1,1,1,1
3.8651495630113,0.172,2.59063897008492,3.2516677560374,0,1.35097093399627,0,1,1,1,1
3.13451269568131,0.234,2.48082233382959,2.09975457160162,0,1.26903514525385,0,1,1,1,1
3.66004656192416,0.188,2.59715773146794,2.6812327593982,0,1.31763631779996,0,1,1,0,1
2.65166728507689,0.258,2.79497174726027,2.18155580573615,0,1.37832404773087,0,1,0,0,1
3.7597627780383,0.17,2.71209719986444,3.18968492979781,0,1.34131773283763,0,1,0,1,1
3.03465063961644,0.164,2.33174769167772,2.57503266982657,0,1.30651294129783,0,1,0,0,1
3.89234669475343,0.206,2.98964461435168,3.14444232752487,0,1.39164667659424,0,1,1,0,1
3.00893355296816,0.266,2.74673462950346,2.34194375423,0,1.40957311554004,0,1,1,1,1
3.25539530364533,0.192,2.48271304151478,2.67564098596458,0,1.23251835282875,0,1,1,0,1
3.29730069045295,0.248,2.92712797867323,2.45827337593089,0,1.42549226250625,0,1,1,0,1
2.70478258848866,0.344,2.62343034233447,2.03185288160903,0,1.28018699732893,0,0,1,1,1
2.52020810494834,0.362,2.72090448269606,1.76171202414634,0,1.28136860873833,0,0,1,1,1
3.24431975943112,0.214,2.547027119492,2.66326443089511,0,1.28224427866391,0,0,0,0,1
2.96611381460339,0.236,2.98057461114388,2.30435947463902,0,1.42012783970615,0,1,0,1,1
2.79653988599133,0.256,2.71842749966852,2.2863313377875,0,1.43282865705837,0,1,0,0,1
2.56506365916387,0.312,2.63084815422727,1.81650881666785,0,1.30048051463304,0,1,1,0,1
3.21669399491628,0.23,2.80328564163427,2.32303077845742,0,1.35715703485894,1,1,1,1,1
3.22909544265421,0.24,2.74477973061403,2.50677893645228,0,1.33027437997672,0,1,1,0,1
3.4434691900033,0.23,2.8795090544306,2.80247194980519,0,1.37799488387744,0,0,1,0,1
3.55005752127811,0.268,2.69328591245497,2.53167408644115,0,1.26281169781493,0,1,1,1,1
2.91353989533845,0.306,2.58601934633351,2.15267781903836,0,1.27493955783976,0,1,1,0,1
2.89382482764089,0.3,2.64095582363693,1.76307002648413,0,1.26497531336034,0,1,1,1,1
3.41400873249004,0.236,2.42144138588411,2.4409523902987,0,1.24690427391759,0,1,1,0,1
2.94961731029757,0.264,2.66415226874422,2.12436969610212,0,1.24680005142391,0,1,1,0,1
3.64955800135314,0.148,2.91915920858198,3.10032369975022,0,1.35607926128632,0,1,0,0,1
3.7859336471918,0.122,2.45630412894851,3.25595802939911,0,1.18410240304902,0,1,0,1,1
3.34867926612415,0.28,3.00858886606684,2.30226892617599,0,1.43833278887368,0,1,1,0,1
