"cate_rmse","cate_coverage","cate_interval_length","ate_rmse","ate_coverage","ate_interval_length","gamma1_sig","gamma2_sig","gamma3_sig","gamma4_sig","gamma5_sig"
3.1554849329524,0.312,3.7118123795481,2.6170772534003,0,1.99550700722118,0,0,0,0,1
2.80196878463645,0.432,3.73295481808574,2.21447990885329,0,1.94422294633728,0,0,0,0,1
3.41629295602803,0.296,4.1206921701239,2.64544875203679,0,1.99516670037048,0,1,0,1,1
3.33327890879303,0.384,4.11769352371597,2.55077396299654,0,2.11718088023319,0,0,0,0,1
2.77194092066014,0.376,3.66336449861992,2.14536647095925,0,1.95827774931545,0,0,1,0,1
3.03328462640464,0.392,4.16457550517356,2.48563853137059,0,2.15400427531341,0,0,0,0,1
3.11511474480573,0.372,3.4642215970007,1.87460299773682,0,1.59017983733021,1,0,1,1,1
4.59149917521209,0.136,3.37874811083768,3.99415274905561,0,1.8476313466969,0,1,0,0,1
3.34185207687035,0.232,3.41416501376761,2.81732502584173,0,1.75973707787131,0,1,0,1,1
2.42884229368977,0.556,3.91851727175073,1.60882398034114,0,2.03749898932042,0,0,1,0,1
3.44631114529718,0.348,3.70141101137856,2.55078378872011,0,1.79145366192746,0,1,1,0,1
3.28972477744055,0.192,2.94894290923278,2.77244868237017,0,1.64993349869725,0,1,0,0,1
2.8220145634879,0.36,3.54360226259466,2.2604209948754,0,1.7054954148693,0,1,0,0,1
3.15634460969072,0.396,3.74300865444121,2.48655154498783,0,1.86938155647913,0,0,0,0,1
2.31071599622863,0.524,3.60668846149462,1.46452496726407,0,1.86205506737546,0,0,1,0,1
2.84077156739335,0.36,3.1085172657916,2.21782385488046,0,1.83348357305897,0,0,0,0,1
3.54266293741589,0.332,4.27302461218226,2.76658373025982,0,2.08234974763045,0,0,1,0,1
3.51702204545408,0.308,3.71701080802034,2.55879129055943,0,1.87112905647858,0,1,0,0,1
2.53995127481177,0.412,3.55528964323132,1.95887656092793,0,1.94422151225932,0,1,0,0,1
3.27898681256443,0.392,3.77681084791922,2.37986137380168,0,1.90976061415546,0,1,1,0,1
3.15273976088524,0.232,3.1500358684605,2.65285575345454,0,1.76545721865339,0,1,0,0,1
4.02555557775571,0.252,3.58926122741983,3.2620291333092,0,1.91660678589808,0,0,1,0,1
3.39717717687026,0.276,3.30696155461824,2.77142325931335,0,1.75999028096982,0,0,0,0,1
2.871943906897,0.336,3.1635042022467,2.31263123474522,0,1.66547398847911,0,0,0,0,1
3.90756058231183,0.208,3.21131781972799,3.36229850940201,0,1.74008496107672,0,0,0,0,1
2.53186122732496,0.532,3.5914398092216,1.67159472060919,0,1.90882727967203,0,0,1,0,1
3.62982121904722,0.268,4.07822269393974,3.0955136290379,0,1.96705633174458,0,1,0,0,1
2.67393709152877,0.548,4.18896067272058,1.92516827599803,0,2.10716466424217,0,0,0,0,1
3.30977361279174,0.256,3.21514991188275,2.72657661484392,0,1.91084268984373,0,0,0,0,1
4.46756264841285,0.212,3.41083049088876,3.32797071263587,0,1.81405020561396,0,1,1,0,1
2.91925035794304,0.4,3.58097819001199,2.1840413221496,0,1.82360538037475,0,1,0,1,1
2.27106964818287,0.508,3.6805426989384,0.844089450512579,1,1.82294927693345,0,1,1,0,1
2.90204942560869,0.412,3.56128720074257,1.9191582190056,0,1.79027164116816,0,1,1,0,1
2.89864796032721,0.356,3.94718228022638,2.30265419614692,0,2.05148451645863,0,1,0,0,1
3.78126925903725,0.204,3.57682625173146,3.22827505463658,0,1.93606146789854,0,0,0,0,1
3.28925062171892,0.464,3.86051480984623,2.54089410846699,0,2.01882358717548,0,0,0,1,1
3.81388165285595,0.32,3.58920952256256,1.64257958257766,0,1.88257773072491,0,0,1,0,1
2.95087058256086,0.384,3.72792964017154,1.81735062491135,0,1.82819509642952,0,1,1,1,1
3.27473514602092,0.408,4.12682657977474,2.47254351465589,0,2.04006971378318,0,1,1,0,1
3.55620760507978,0.276,3.94249176112225,3.0364538920336,0,2.0436308129373,0,0,0,1,1
3.60317086152794,0.252,3.56786828868497,3.01718015943068,0,1.84471475514338,0,1,0,0,1
3.34133535346358,0.328,3.88157649585872,2.68223712302499,0,1.92564350886259,0,0,0,0,1
2.98302004906694,0.384,3.5745235144067,2.05279068498868,0,1.81460831698244,0,0,1,0,1
3.66322249047908,0.336,3.95699130500519,2.41096687532435,0,1.85396764919298,1,1,1,0,1
2.2342640902403,0.48,3.41911971808041,1.66764248975092,0,1.77919047983214,0,1,0,0,1
3.44373137329368,0.372,3.7197992114654,2.48291090341211,0,1.85513650415561,0,0,1,0,1
2.25819623523344,0.548,3.24887927040467,1.14952932233987,0,1.63588833099999,0,1,1,0,1
2.68601471073195,0.396,3.3835119555659,2.01565307339752,0,1.58217946913843,0,0,0,0,1
3.10231270991456,0.3,3.5921064069256,2.59805294637926,0,1.9413579222376,0,1,0,1,1
3.62803315617716,0.308,3.53056570627143,2.79807674957775,0,1.71051731975529,0,0,1,1,1
